frame,t_s,roi_mean,roi_p1,roi_min,roi_p10,roi_p90,patch_area,patch_cx,patch_cy,patch_delta_mean,star_area,star_cx,star_cy,patch_thr,patch_dx,patch_dy,star_dx,star_dy,star_patch_dist
0,0.0,82.74207305908203,1.0,0.0,1.0,251.0,93,473.0,324.0,7.0,1903,626.6726221755124,436.9248554913295,6.5,nan,nan,nan,nan,nan
1,1.0,87.11206817626953,1.0,0.0,1.0,251.0,289,503.1349480968858,194.71280276816609,6.0,2964,507.7122132253711,441.6224696356275,6.0,30.134948096885807,-129.28719723183391,-118.9604089501413,4.697614144298029,246.95209039134943
2,2.0,87.15138244628906,1.0,0.0,2.0,251.0,93,473.0,324.0,6.849462509155273,3188,441.38550815558347,441.0363864491844,6.0,-30.134948096885807,129.28719723183391,-66.32670506978764,-0.5860831864430907,121.23115048395573
3,3.0,86.99302673339844,1.0,0.0,1.0,251.0,64,495.5,199.5,6.0,3267,452.1417202326293,440.8888888888889,6.0,22.5,-124.5,10.75621207704586,-0.14749756029550554,245.25198491224887
4,4.0,86.94098663330078,1.0,0.0,1.0,251.0,391,490.76214833759593,194.95652173913044,6.0,4430,530.2076749435666,440.2252821670429,6.0,-4.7378516624040685,-4.543478260869563,78.06595471093732,-0.6636067218460084,248.42043879493303
5,5.0,5.801425457000732,1.0,0.0,2.0,10.0,783,473.56704980842915,394.5925925925926,5.938058853149414,2774,567.0328046142754,975.3846431146359,5.5,-17.195098529166785,199.63607085346217,36.82512967070875,535.159360947593,588.2646116086079
6,6.0,5.8102827072143555,1.0,0.0,2.0,10.0,435,469.77701149425286,396.85057471264366,5.055172443389893,2595,591.4173410404625,916.2065510597303,5.0,-3.790038314176286,2.2579821200510537,24.384536426187083,-59.17809205490562,533.4107234950814
7,7.0,5.8408203125,1.0,0.0,2.0,9.0,1845,481.7018970189702,399.5691056910569,5.398644924163818,2694,700.0426874536006,622.4164810690423,5.0,11.924885524717354,2.7185309784132414,108.62534641313812,-293.7900699906879,311.9834185986107
8,8.0,5.69550895690918,1.0,0.0,2.0,9.0,351,412.991452991453,407.3988603988604,5.160968780517578,1849,671.8939967550027,714.9421308815575,5.0,-68.71044402751721,7.829754707803488,-28.148690698597875,92.52564981251521,402.0116794154496
9,9.0,5.659519195556641,1.0,1.0,2.0,8.0,417,402.7410071942446,310.726618705036,5.009592533111572,1995,737.3002506265664,594.6741854636591,5.0,-10.250445797208386,-96.67224169382439,65.40625387156365,-120.26794541789843,438.81215575021423
10,10.0,5.570514678955078,2.0,1.0,2.0,8.0,741,431.7543859649123,407.2847503373819,5.554656028747559,1508,701.8163129973475,701.0802387267904,5.0,29.013378770667657,96.55813163234592,-35.48393762921887,106.4060532631313,399.0604383178611
11,11.0,5.607946872711182,2.0,1.0,3.0,8.0,908,425.8612334801762,406.442731277533,5.180066108703613,2517,751.979340484704,719.9098132697656,4.0,-5.893152484736049,-0.8420190598488944,50.163027487356544,18.829574542975138,452.34348808061964
12,12.0,5.548105239868164,2.0,1.0,3.0,8.0,231,421.5151515151515,410.43722943722946,4.047618865966797,2336,717.3356164383562,657.824058219178,4.0,-4.346081965024723,3.994498159696434,-34.64372404634787,-62.08575505058752,385.6293434402653
13,13.0,5.602160453796387,2.0,1.0,3.0,8.0,303,420.90429042904293,403.2343234323432,3.8745875358581543,3209,731.4456216889997,635.4786537862262,3.5,-0.6108610861085708,-7.202906004886245,14.110005250643553,-22.345404432951796,387.7800245013012
14,14.0,5.459456920623779,2.0,1.0,2.0,8.0,599,427.97161936560934,400.9632721202003,3.5166945457458496,1232,731.0211038961039,1772.2564935064936,3.0,7.067328936566412,-2.2710513121429017,-0.4245177928958128,1136.7778397202674,1404.3803220973284
15,15.0,5.475622177124023,2.0,0.0,2.0,8.0,348,511.7816091954023,373.9109195402299,3.3548851013183594,1227,773.0383048084759,1760.9967400163,3.0,83.80998982979298,-27.05235257997043,42.017200912372004,-11.259753490193589,1411.4751625049712
16,16.0,5.499366283416748,2.0,0.0,2.0,8.0,713,507.1430575035063,376.16129032258067,3.4838709831237793,2374,1063.809604043808,326.6828138163437,3.0,-4.638551691895998,2.2503707823507852,290.771299235332,-1434.3139261999563,558.861130939059
17,17.0,5.522590637207031,1.0,1.0,2.0,8.0,486,426.94444444444446,394.69135802469134,3.403292179107666,3716,1046.7771797631863,299.8514531754575,3.0,-80.19861305906187,18.53006770211067,-17.032424280621626,-26.831360640886203,627.0464315539361
18,18.0,5.466798782348633,2.0,1.0,2.0,8.0,1718,429.27939464493596,393.8172293364377,3.352153778076172,1725,551.5159420289855,522.0910144927536,3.0,2.3349502004915053,-0.8741286882536201,-495.2612377342008,222.23956131729614,177.18898801760136
19,19.0,5.54343318939209,1.0,1.0,3.0,8.0,791,468.1466498103666,387.1125158027813,4.444374084472656,3192,904.5441729323309,822.3565162907269,4.0,38.86725516543066,-6.704713533656445,353.0282309033454,300.26550179797323,616.34417182913
20,20.0,5.665882587432861,2.0,1.0,3.0,8.0,837,446.0824372759857,397.43488649940264,4.384707450866699,8148,646.9106529209622,751.0449189985272,4.0,-22.064212534380943,10.322370696621363,-257.63352001136866,-71.31159729219962,406.6595963249572
21,21.0,5.49960994720459,1.0,1.0,2.0,8.0,561,365.7825311942959,310.10873440285206,4.156862735748291,7982,1012.6943122024555,477.5063893760962,4.0,-80.29990608168976,-87.32615209655057,365.7836592814933,-273.53852962243104,668.219146162163
22,22.0,5.50809383392334,1.0,1.0,2.0,8.0,418,363.2751196172249,311.98325358851673,4.306220054626465,3033,589.5489614243323,1535.624134520277,4.0,-2.507411577071025,1.874519185664667,-423.1453507781232,1058.1177451441808,1244.386136604552
23,23.0,5.498507022857666,1.0,1.0,2.0,8.0,920,363.9391304347826,322.5923913043478,4.36141300201416,4832,984.3959023178808,1092.2620033112582,4.0,0.6640108175577097,10.609137715831082,394.84694089354844,-443.3621312090188,988.6141398050419
24,24.0,5.450407028198242,2.0,1.0,2.0,8.0,1281,499.62138953942235,381.9836065573771,4.393442630767822,5840,944.3691780821918,1025.9046232876713,4.0,135.68225910463974,59.39121525302926,-40.02672423568902,-66.35738002358698,782.5821817551558
25,25.0,5.394847393035889,2.0,0.0,2.0,8.0,590,475.06271186440677,393.1084745762712,5.02203369140625,4121,998.813152147537,814.102887648629,5.0,-24.558677675015588,11.12486801889412,54.44397406534529,-211.80173563904225,671.9753117004462
26,26.0,5.484213829040527,2.0,0.0,3.0,8.0,725,473.69241379310347,394.58482758620687,5.931034564971924,3448,1048.1032482598607,800.9103828306264,5.5,-1.3702980713032957,1.4763530099356785,49.29009611232368,-13.19250481800259,703.5966625826776
27,27.0,5.548744201660156,2.0,1.0,3.0,8.0,578,475.20934256055364,393.19723183391005,5.022491455078125,4418,775.8721140787686,852.0674513354459,5.0,1.5169287674501675,-1.3875957522968179,-272.2311341810921,51.15706850481945,548.5981958796456
28,28.0,5.610101699829102,2.0,1.0,3.0,8.0,301,484.3421926910299,389.56478405315613,4.953488349914551,6651,318.55931438881373,1138.5283416027664,4.5,9.132850130476243,-3.632447780753921,-457.3127996899549,286.46089026732056,767.092154356656
29,29.0,5.571034908294678,2.0,0.0,3.0,8.0,382,435.67277486910996,400.8952879581152,4.968586444854736,4995,204.42362362362363,1136.303103103103,4.5,-48.66941782191992,11.330503904959073,-114.1356907651901,-2.225238499663419,770.9090896649762
30,30.0,6.444508075714111,1.0,0.0,2.0,8.0,818,506.02567237163817,206.53911980440097,4.10880184173584,4067,1038.0654044750431,1361.0243422670274,4.0,70.35289750252821,-194.35616815371424,833.6417808514195,224.72123916392434,1271.1814997950696
31,31.0,7.216052055358887,1.0,0.0,2.0,9.0,295,483.96610169491527,390.3898305084746,5.333898067474365,10951,474.43813350378963,1253.360971600767,5.0,-22.0595706767229,183.8507107040736,-563.6272709712534,-107.66337066626033,863.0237381068869
32,32.0,7.19985294342041,1.0,0.0,2.0,9.0,355,461.69577464788733,410.0,5.015492916107178,4671,1020.5718261614215,838.994861913937,4.5,-22.270327047027934,19.610169491525426,546.1336926576319,-414.36610968683,704.5417180720503
33,33.0,7.174230575561523,1.0,0.0,2.0,10.0,1281,459.3848555815769,401.91100702576114,5.409055233001709,2660,803.8823308270677,859.5586466165414,5.0,-2.3109190663104187,-8.088992974238863,-216.68949533435386,20.56378470260438,572.8174861799614
34,34.0,7.1434502601623535,1.0,0.0,2.0,10.0,855,285.3333333333333,355.2105263157895,5.00643253326416,2357,937.6550700042427,870.2918964785745,5.0,-174.0515222482436,-46.70048070997166,133.77273917717503,10.733249862033063,831.1633209075837
35,35.0,7.1975507736206055,1.0,0.0,1.0,11.0,1743,286.6959265633964,345.85140562248995,4.279403209686279,3601,771.6725909469592,880.9847264648708,4.0,1.362593230063112,-9.35912069329953,-165.9824790572835,10.692829986296374,722.1980587570155
36,36.0,7.134372234344482,1.0,0.0,1.0,11.0,1252,294.75798722044726,338.59424920127793,5.0,4993,264.85760064089726,171.43140396555177,5.0,8.062060657050836,-7.2571564212120165,-506.81499030606193,-709.553322499319,169.81592959704892
37,37.0,7.331628799438477,1.0,0.0,1.0,12.0,309,301.6925566343042,348.8932038834951,4.333333492279053,7016,929.8129988597492,734.2314709236032,4.0,6.934569413856934,10.298954682217186,664.955398218852,562.8000669580514,736.8994978875764
38,38.0,7.427499771118164,1.0,0.0,1.0,12.0,1766,130.88731596828993,360.6483578708947,4.0,4636,803.2530198446937,1033.22131147541,4.0,-170.80524066601427,11.75515398739958,-126.55997901505555,298.98984055180676,951.0152562758987
39,39.0,7.4409050941467285,1.0,0.0,1.0,13.0,2118,132.7695939565628,341.2922568460812,4.017233371734619,7572,33.5729001584786,680.93911780243,4.0,1.8822779882728753,-19.356101024813483,-769.680119686215,-352.28219367297993,353.8360838269215
40,40.0,7.180712699890137,1.0,0.0,2.0,11.0,642,301.49221183800626,362.7227414330218,5.0381622314453125,3258,685.658993247391,985.2341927562923,5.0,168.72261788144345,21.430484586940565,652.0860930889123,304.29507495386224,731.5084572081518
